"REGEX","Labels","Regex P","Regex R","Regex F",,,"Labels","Regex P","Regex R","Regex F",,"Regex P","Regex R","Regex F",,"Regex P","Regex R","Regex F",,"Regex P","Regex R","Regex F",,"Regex P","Regex R","Regex F",,"Regex P","Regex R","Regex F",,"Regex P","Regex R","Regex F",,"Regex P","Regex R","Regex F",,"Regex P","Regex R","Regex F"
0,"OG-1",0.98932384341637,0.920529801324503,0.95368782161235,,0,"OG-1",0.972222222222222,0.927152317880795,0.949152542372881,,0.989473684210526,0.933774834437086,0.960817717206133,,0.99644128113879,0.927152317880795,0.960548885077187,,0.989473684210526,0.933774834437086,0.960817717206133,,0.99645390070922,0.93046357615894,0.962328767123288,,0.964028776978417,0.887417218543046,0.924137931034483,,0.989583333333333,0.943708609271523,0.966101694915254,,0.992982456140351,0.937086092715232,0.964224872231686,,0.993031358885017,0.943708609271523,0.967741935483871
1,"OG-2",1,0.888888888888889,0.941176470588235,,1,"OG-2",1,0.861111111111111,0.925373134328358,,1,0.916666666666667,0.956521739130435,,0.944444444444444,0.944444444444444,0.944444444444444,,1,0.972222222222222,0.985915492957746,,0.971428571428571,0.944444444444444,0.95774647887324,,1,0.972222222222222,0.985915492957746,,1,0.972222222222222,0.985915492957746,,1,0.972222222222222,0.985915492957746,,1,0.972222222222222,0.985915492957746
2,"OG-3",0.94,0.796610169491525,0.862385321100917,,2,"OG-3",0.888888888888889,0.813559322033898,0.849557522123894,,0.941176470588235,0.813559322033898,0.872727272727273,,0.830508474576271,0.830508474576271,0.830508474576271,,0.979591836734694,0.813559322033898,0.888888888888889,,1,0.813559322033898,0.897196261682243,,1,0.813559322033898,0.897196261682243,,1,0.813559322033898,0.897196261682243,,1,0.796610169491525,0.886792452830189,,1,0.813559322033898,0.897196261682243
3,"OG-4",0,0,0,,3,"OG-4",0,0,0,,1,0.5,0.666666666666667,,1,0.5,0.666666666666667,,0.666666666666667,1,0.8,,0.666666666666667,1,0.8,,0.666666666666667,1,0.8,,0.666666666666667,1,0.8,,1,0.5,0.666666666666667,,1,0.5,0.666666666666667
4,"OG-5",0,0,0,,4,"OG-5",0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
5,"OG-6",1,0.222222222222222,0.363636363636364,,5,"OG-6",0.230769230769231,0.333333333333333,0.272727272727273,,1,0.666666666666667,0.8,,0.75,0.666666666666667,0.705882352941176,,1,0.666666666666667,0.8,,1,0.666666666666667,0.8,,0.75,0.666666666666667,0.705882352941176,,1,0.666666666666667,0.8,,1,0.666666666666667,0.8,,1,0.666666666666667,0.8
6,"OG-7",0,0,0,,6,"OG-7",0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
7,"OG-8",1,1,1,,7,"OG-8",1,0.833333333333333,0.909090909090909,,1,1,1,,1,1,1,,0.857142857142857,1,0.923076923076923,,0.75,1,0.857142857142857,,1,1,1,,1,1,1,,1,1,1,,1,1,1
8,"OG-9",0.941176470588235,1,0.96969696969697,,8,"OG-9",0.761904761904762,1,0.864864864864865,,0.9375,0.9375,0.9375,,0.941176470588235,1,0.96969696969697,,0.941176470588235,1,0.96969696969697,,0.842105263157895,1,0.914285714285714,,1,0.9375,0.967741935483871,,1,1,1,,1,0.9375,0.967741935483871,,1,1,1
9,"OG-10",1,0.692307692307692,0.818181818181818,,9,"OG-10",1,0.615384615384615,0.761904761904762,,1,0.692307692307692,0.818181818181818,,1,0.692307692307692,0.818181818181818,,1,0.692307692307692,0.818181818181818,,1,0.692307692307692,0.818181818181818,,1,0.692307692307692,0.818181818181818,,1,0.692307692307692,0.818181818181818,,1,0.692307692307692,0.818181818181818,,0.9,0.692307692307692,0.782608695652174
10,"OG-11",0.990783410138249,0.92274678111588,0.955555555555556,,10,"OG-11",0.991031390134529,0.948497854077253,0.969298245614035,,0.973684210526316,0.952789699570816,0.963123644251627,,0.982142857142857,0.944206008583691,0.962800875273523,,0.995495495495496,0.948497854077253,0.971428571428571,,0.986725663716814,0.957081545064378,0.971677559912854,,0.991031390134529,0.948497854077253,0.969298245614035,,0.965367965367965,0.957081545064378,0.961206896551724,,0.973684210526316,0.952789699570816,0.963123644251627,,0.995535714285714,0.957081545064378,0.975929978118162
11,"OG-12",0.921052631578947,0.875,0.897435897435897,,11,"OG-12",0.972222222222222,0.875,0.921052631578947,,1,0.875,0.933333333333333,,1,0.825,0.904109589041096,,0.897435897435897,0.875,0.886075949367089,,0.945945945945946,0.875,0.909090909090909,,1,0.8,0.888888888888889,,1,0.875,0.933333333333333,,1,0.85,0.918918918918919,,1,0.875,0.933333333333333
12,"OG-13",0,0,0,,12,"OG-13",1,0.666666666666667,0.8,,0.666666666666667,0.666666666666667,0.666666666666667,,1,0.666666666666667,0.8,,0.666666666666667,0.666666666666667,0.666666666666667,,1,0.666666666666667,0.8,,1,0.666666666666667,0.8,,1,0.666666666666667,0.8,,1,0.666666666666667,0.8,,1,0.666666666666667,0.8
13,"OS-1",0,0,0,,13,"OS-1",0.333333333333333,0.357142857142857,0.344827586206896,,1,0.714285714285714,0.833333333333333,,1,0.642857142857143,0.782608695652174,,0.916666666666667,0.785714285714286,0.846153846153846,,0.733333333333333,0.785714285714286,0.758620689655172,,0.928571428571429,0.928571428571429,0.928571428571429,,1,0.928571428571429,0.962962962962963,,0.923076923076923,0.857142857142857,0.888888888888889,,1,0.928571428571429,0.962962962962963
14,"OS-2A",0.75,0.625,0.681818181818182,,14,"OS-2A",0.535714285714286,0.625,0.576923076923077,,0.652173913043478,0.625,0.638297872340426,,0.736842105263158,0.583333333333333,0.651162790697674,,0.736842105263158,0.583333333333333,0.651162790697674,,0.75,0.625,0.681818181818182,,0.761904761904762,0.666666666666667,0.711111111111111,,0.727272727272727,0.666666666666667,0.695652173913043,,0.739130434782609,0.708333333333333,0.723404255319149,,0.772727272727273,0.708333333333333,0.739130434782609
15,"OS-2B",0,0,0,,15,"OS-2B",0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
16,"OS-3",0.988372093023256,0.923913043478261,0.955056179775281,,16,"OS-3",1,0.978260869565217,0.989010989010989,,0.938144329896907,0.989130434782608,0.962962962962963,,0.966666666666667,0.945652173913044,0.956043956043956,,0.989010989010989,0.978260869565217,0.983606557377049,,1,0.91304347826087,0.954545454545454,,1,0.956521739130435,0.977777777777778,,1,0.978260869565217,0.989010989010989,,1,0.978260869565217,0.989010989010989,,1,0.978260869565217,0.989010989010989
17,"OS-4",0.703703703703704,0.76,0.730769230769231,,17,"OS-4",0.88,0.88,0.88,,0.956521739130435,0.88,0.916666666666667,,0.758620689655172,0.88,0.814814814814815,,1,0.84,0.91304347826087,,1,0.88,0.936170212765957,,1,0.88,0.936170212765957,,1,0.88,0.936170212765957,,0.958333333333333,0.92,0.938775510204082,,0.958333333333333,0.92,0.938775510204082
18,"OS-5",0.666666666666667,1,0.8,,18,"OS-5",1,0.5,0.666666666666667,,1,1,1,,1,0.9,0.947368421052632,,1,1,1,,1,1,1,,1,0.9,0.947368421052632,,1,1,1,,1,1,1,,1,1,1
19,"OS-6",0.988235294117647,0.943820224719101,0.96551724137931,,19,"OS-6",0.933333333333333,0.943820224719101,0.93854748603352,,0.987951807228916,0.921348314606742,0.953488372093023,,0.988235294117647,0.943820224719101,0.96551724137931,,0.976470588235294,0.932584269662921,0.954022988505747,,0.976470588235294,0.932584269662921,0.954022988505747,,0.98780487804878,0.910112359550562,0.947368421052632,,0.988095238095238,0.932584269662921,0.959537572254335,,0.965116279069768,0.932584269662921,0.948571428571428,,0.965116279069768,0.932584269662921,0.948571428571428
20,"OS-7",0.880952380952381,0.787234042553192,0.831460674157303,,20,"OS-7",0.868421052631579,0.702127659574468,0.776470588235294,,0.9,0.765957446808511,0.827586206896552,,0.9375,0.638297872340426,0.759493670886076,,0.904761904761905,0.808510638297872,0.853932584269663,,0.948717948717949,0.787234042553192,0.86046511627907,,0.95,0.808510638297872,0.873563218390805,,0.95,0.808510638297872,0.873563218390805,,0.95,0.808510638297872,0.873563218390805,,0.951219512195122,0.829787234042553,0.886363636363636
21,"OS-8",0.941176470588235,0.727272727272727,0.82051282051282,,21,"OS-8",0.894736842105263,0.772727272727273,0.829268292682927,,0.894736842105263,0.772727272727273,0.829268292682927,,0.941176470588235,0.727272727272727,0.82051282051282,,0.944444444444444,0.772727272727273,0.85,,0.944444444444444,0.772727272727273,0.85,,0.933333333333333,0.636363636363636,0.756756756756757,,0.944444444444444,0.772727272727273,0.85,,0.944444444444444,0.772727272727273,0.85,,0.944444444444444,0.772727272727273,0.85
22,"OS-9",0,0,0,,22,"OS-9",0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0.5,1,0.666666666666667,,1,1,1,,0.5,1,0.666666666666667,,1,1,1
23,"OS-10",1,0.764705882352941,0.866666666666667,,23,"OS-10",1,0.529411764705882,0.692307692307692,,1,0.764705882352941,0.866666666666667,,1,0.764705882352941,0.866666666666667,,1,0.764705882352941,0.866666666666667,,1,0.764705882352941,0.866666666666667,,1,0.764705882352941,0.866666666666667,,1,0.764705882352941,0.866666666666667,,1,0.764705882352941,0.866666666666667,,1,0.764705882352941,0.866666666666667
24,"OS-11",0.857142857142857,1,0.923076923076923,,24,"OS-11",1,1,1,,1,1,1,,1,1,1,,1,1,1,,1,1,1,,1,1,1,,1,1,1,,1,1,1,,1,1,1
25,"OS-12A",0.611111111111111,0.647058823529412,0.628571428571429,,25,"OS-12A",0.833333333333333,0.588235294117647,0.689655172413793,,0.846153846153846,0.647058823529412,0.733333333333333,,0.846153846153846,0.647058823529412,0.733333333333333,,0.846153846153846,0.647058823529412,0.733333333333333,,0.846153846153846,0.647058823529412,0.733333333333333,,0.785714285714286,0.647058823529412,0.709677419354839,,0.846153846153846,0.647058823529412,0.733333333333333,,0.846153846153846,0.647058823529412,0.733333333333333,,0.846153846153846,0.647058823529412,0.733333333333333
26,"OS-12B",0.666666666666667,0.666666666666667,0.666666666666667,,26,"OS-12B",0.75,1,0.857142857142857,,1,1,1,,1,1,1,,1,1,1,,1,1,1,,0.75,1,0.857142857142857,,1,1,1,,1,1,1,,1,1,1
27,"OS-13",0.888888888888889,1,0.941176470588235,,27,"OS-13",0.777777777777778,0.875,0.823529411764706,,1,1,1,,0.833333333333333,0.9375,0.882352941176471,,0.933333333333333,0.875,0.903225806451613,,1,1,1,,0.75,0.9375,0.833333333333333,,1,0.9375,0.967741935483871,,0.941176470588235,1,0.96969696969697,,1,1,1
28,"OS-14",0.814814814814815,1,0.897959183673469,,28,"OS-14",1,0.954545454545455,0.976744186046512,,1,1,1,,0.916666666666667,1,0.956521739130435,,1,1,1,,1,1,1,,0.956521739130435,1,0.977777777777778,,1,1,1,,1,1,1,,1,1,1
29,"OS-15",0,0,0,,29,"OS-15",0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
30,"OS-16",0,0,0,,30,"OS-16",0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
31,"OS-17",0,0,0,,31,"OS-17",0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0.5,0.666666666666667
32,"OS-18A",0.666666666666667,0.113207547169811,0.193548387096774,,32,"OS-18A",0.785714285714286,0.207547169811321,0.328358208955224,,0.8,0.226415094339623,0.352941176470588,,0.8,0.226415094339623,0.352941176470588,,0.85,0.320754716981132,0.465753424657534,,0.8,0.30188679245283,0.438356164383562,,0.72,0.339622641509434,0.461538461538462,,0.772727272727273,0.320754716981132,0.453333333333333,,0.766666666666667,0.433962264150943,0.55421686746988,,1,0.377358490566038,0.547945205479452
33,"OS-18B",1,0.142857142857143,0.25,,33,"OS-18B",1,0.214285714285714,0.352941176470588,,1,0.214285714285714,0.352941176470588,,1,0.214285714285714,0.352941176470588,,1,0.285714285714286,0.444444444444444,,0.714285714285714,0.357142857142857,0.476190476190476,,0.545454545454545,0.428571428571429,0.48,,0.857142857142857,0.428571428571429,0.571428571428571,,0.866666666666667,0.928571428571429,0.896551724137931,,0.923076923076923,0.857142857142857,0.888888888888889
34,"OS-19",0,0,0,,34,"OS-19",0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0.8,0.8,0.8,,1,1,1,,0.833333333333333,1,0.909090909090909
35,"OS-20A",0.4,0.666666666666667,0.5,,35,"OS-20A",0.5,0.666666666666667,0.571428571428571,,0.5,0.666666666666667,0.571428571428571,,0.444444444444444,0.666666666666667,0.533333333333333,,0.5,0.666666666666667,0.571428571428571,,0.5,0.666666666666667,0.571428571428571,,0.571428571428571,0.666666666666667,0.615384615384615,,0.571428571428571,0.666666666666667,0.615384615384615,,0.666666666666667,1,0.8,,0.6,1,0.75
36,"OS-20B",0,0,0,,36,"OS-20B",0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0.2,0.333333333333333,,1,0.4,0.571428571428571,,1,0.4,0.571428571428571,,1,0.2,0.333333333333333
37,"OS-21",0.857142857142857,0.761904761904762,0.80672268907563,,37,"OS-21",0.98,0.777777777777778,0.867256637168142,,0.913793103448276,0.841269841269841,0.87603305785124,,0.847457627118644,0.793650793650794,0.819672131147541,,0.909090909090909,0.793650793650794,0.847457627118644,,0.854838709677419,0.841269841269841,0.848,,0.864406779661017,0.80952380952381,0.836065573770492,,0.980769230769231,0.80952380952381,0.88695652173913,,1,0.793650793650794,0.884955752212389,,0.929824561403509,0.841269841269841,0.883333333333333
38,"OS-22",0.944444444444444,1,0.971428571428571,,38,"OS-22",1,0.941176470588235,0.96969696969697,,0.80952380952381,1,0.894736842105263,,0.80952380952381,1,0.894736842105263,,0.882352941176471,0.882352941176471,0.882352941176471,,0.944444444444444,1,0.971428571428571,,0.944444444444444,1,0.971428571428571,,0.888888888888889,0.941176470588235,0.914285714285714,,0.894736842105263,1,0.944444444444444,,1,1,1
39,"OS-23",0,0,0,,39,"OS-23",1,0.2,0.333333333333333,,1,0.2,0.333333333333333,,1,0.2,0.333333333333333,,1,0.2,0.333333333333333,,1,0.2,0.333333333333333,,1,0.2,0.333333333333333,,1,0.2,0.333333333333333,,1,0.8,0.888888888888889,,1,0.8,0.888888888888889
40,"OS-24",0.979591836734694,0.923076923076923,0.95049504950495,,40,"OS-24",0.793103448275862,0.884615384615385,0.836363636363636,,1,0.884615384615385,0.938775510204082,,0.938775510204082,0.884615384615385,0.910891089108911,,0.938775510204082,0.884615384615385,0.910891089108911,,0.979591836734694,0.923076923076923,0.95049504950495,,1,0.846153846153846,0.916666666666667,,0.96,0.923076923076923,0.941176470588235,,0.979591836734694,0.923076923076923,0.95049504950495,,1,0.923076923076923,0.96
